Tahun,Kabupaten/Kota,WPP,Volume Produksi (Ton),Nilai Produksi (Rp 000),Provinsi,Kelompok,Jenis Ikan;
2023,BANYUASIN,WPP-RI-711,179.49,2692305,SUMATERA SELATAN,BELANAK,BELANAK;
2023,BANYUASIN,WPP-RI-711,769.08,19226900,SUMATERA SELATAN,CUMI-CUMI,CUMI-CUMI;
2023,BANYUASIN,WPP-RI-711,691.43,24200050,SUMATERA SELATAN,GEROT-GEROT,GEROT-GEROT;
2023,BANYUASIN,WPP-RI-711,206.13,3544510,SUMATERA SELATAN,GOLOK-GOLOK,GOLOK-GOLOK;
2023,BANYUASIN,WPP-RI-711,624.00,9359925,SUMATERA SELATAN,GULAMAH,GULAMAH;
2023,BANYUASIN,WPP-RI-711,4088.01,181589890,SUMATERA SELATAN,KAKAP,KAKAP BATU;
2023,BANYUASIN,WPP-RI-711,356.86,19627025,SUMATERA SELATAN,KAKAP,KAKAP MERAH;
2023,BANYUASIN,WPP-RI-711,1783.87,80274330,SUMATERA SELATAN,KAKAP,KAKAP PUTIH; BARAMUNDI
2023,BANYUASIN,WPP-RI-711,2561.56,217732940,SUMATERA SELATAN,KEPITING,KEPITING;
2023,BANYUASIN,WPP-RI-711,750.57,60045840,SUMATERA SELATAN,KEPITING,KEPITING BAKAU;
2023,BANYUASIN,WPP-RI-711,207.17,4936360,SUMATERA SELATAN,KERANG,KERANG DARAH;
2023,BANYUASIN,WPP-RI-711,2992.63,29926280,SUMATERA SELATAN,KURISI,KURISI;
2023,BANYUASIN,WPP-RI-711,7243.51,352925670,SUMATERA SELATAN,KURO,KURO; SENANGIN
2023,BANYUASIN,WPP-RI-711,270.04,5400760,SUMATERA SELATAN,MANYUNG,MANYUNG BESAR;
2023,BANYUASIN,WPP-RI-711,127.76,5110440,SUMATERA SELATAN,PEPEREK,PETEK;
2023,BANYUASIN,WPP-RI-711,586.93,14673125,SUMATERA SELATAN,PISANG-PISANG,PISANG-PISANG;
2023,BANYUASIN,WPP-RI-711,3347.82,284564530,SUMATERA SELATAN,RAJUNGAN,RAJUNGAN;
2023,BANYUASIN,WPP-RI-711,3204.05,59636905,SUMATERA SELATAN,SEBELAH,SEBELAH; TERABIS
2023,BANYUASIN,WPP-RI-711,5958.46,89376885,SUMATERA SELATAN,SEMBILANG,SEMBILANG BETUL;
2023,BANYUASIN,WPP-RI-711,4082.29,204114300,SUMATERA SELATAN,SOTONG,SOTONG;
2023,BANYUASIN,WPP-RI-711,3041.29,178356220,SUMATERA SELATAN,TENGGIRI,TENGGIRI;
2023,BANYUASIN,WPP-RI-711,270.71,18546085,SUMATERA SELATAN,TERI,TERI GEPENG;
2023,BANYUASIN,WPP-RI-711,1209.48,48379160,SUMATERA SELATAN,UDANG,UDANG DOGOL;
2023,BANYUASIN,WPP-RI-711,467.81,6081569,SUMATERA SELATAN,UDANG,UDANG JERBUNG;
2023,BANYUASIN,WPP-RI-711,983.20,196639200,SUMATERA SELATAN,UDANG,UDANG MANTIS;
2023,BANYUASIN,WPP-RI-711,238.59,11929500,SUMATERA SELATAN,UDANG,UDANG PINK VELVET;
2023,BANYUASIN,WPP-RI-711,203.72,14260120,SUMATERA SELATAN,UDANG,UDANG PUTIH; UDANG API-API
2023,BANYUASIN,WPP-RI-711,1532.29,137906460,SUMATERA SELATAN,UDANG,UDANG WINDU;
2023,BATU BARA,WPP-RI-571,1400.12,63005535,SUMATERA UTARA,CUMI-CUMI,CUMI-CUMI;
2023,BATU BARA,WPP-RI-571,1077.71,10777070,SUMATERA UTARA,GULAMAH,GULAMAH;
2023,BATU BARA,WPP-RI-571,2889.55,115581920,SUMATERA UTARA,GURITA,GURITA;
2023,BATU BARA,WPP-RI-571,1758.25,87912350,SUMATERA UTARA,KAKAP,KAKAP JENAHA;
2023,BATU BARA,WPP-RI-571,16231.71,486951330,SUMATERA UTARA,KEMBUNG,KEMBUNG;
2023,BATU BARA,WPP-RI-571,878.74,6151201,SUMATERA UTARA,KERANG,KERANG BULU;
2023,BATU BARA,WPP-RI-571,798.06,9576696,SUMATERA UTARA,KERANG,KERANG DARAH;
2023,BATU BARA,WPP-RI-571,1929.59,135071580,SUMATERA UTARA,KERAPU,KERAPU LUMPUR;
2023,BATU BARA,WPP-RI-571,2728.04,109121440,SUMATERA UTARA,KURO,KURO; SENANGIN
2023,BATU BARA,WPP-RI-571,4323.40,17293616,SUMATERA UTARA,LEMURU,TEMBANG;
2023,BATU BARA,WPP-RI-571,980.81,29424270,SUMATERA UTARA,LIDAH,LIDAH;
2023,BATU BARA,WPP-RI-571,2570.21,51404200,SUMATERA UTARA,PARI,PARI MUARA;
2023,BATU BARA,WPP-RI-571,3021.40,302139700,SUMATERA UTARA,RAJUNGAN,RAJUNGAN;
2023,BATU BARA,WPP-RI-571,1449.11,4347327,SUMATERA UTARA,REMIS,REMIS;
2023,BATU BARA,WPP-RI-571,2856.79,42851835,SUMATERA UTARA,SELAR,TETENGKEK;
2023,BATU BARA,WPP-RI-571,635.42,15885425,SUMATERA UTARA,SOTONG,SOTONG;
2023,BATU BARA,WPP-RI-571,4665.05,223882500,SUMATERA UTARA,TERI,TERI INDIAN;
2023,BATU BARA,WPP-RI-571,3727.09,178949184,SUMATERA UTARA,TERI,TERI JENGKI;
2023,BATU BARA,WPP-RI-571,2874.92,229971640,SUMATERA UTARA,TERI,TERI NASI;
2023,BATU BARA,WPP-RI-571,1058.83,116471740,SUMATERA UTARA,UDANG,UDANG JERBUNG;
2023,BATU BARA,WPP-RI-571,1762.46,61686030,SUMATERA UTARA,UDANG,UDANG KROSOK KUNING;
2023,BENGKALIS,WPP-RI-571,15.21,410670,RIAU,BAWAL,BAWAL PUTIH;
2023,BENGKALIS,WPP-RI-571,241.87,1934936,RIAU,BELOSO,ACANG-ACANG BOMBAY;
2023,BENGKALIS,WPP-RI-571,4.79,57480,RIAU,BILIS,BILIS;
2023,BENGKALIS,WPP-RI-571,175.03,1312702,RIAU,BULU AYAM,BULU AYAM;
2023,BENGKALIS,WPP-RI-571,28.00,1287770,RIAU,GEROT-GEROT,GEROT-GEROT;
2023,BENGKALIS,WPP-RI-571,313.17,10960915,RIAU,GOLOK-GOLOK,GOLOK-GOLOK;
2023,BENGKALIS,WPP-RI-571,9.65,289410,RIAU,GULAMAH,GULAMAH KUNING;
2023,BENGKALIS,WPP-RI-571,386.86,3868590,RIAU,HARING,GEMPRANG;
2023,BENGKALIS,WPP-RI-571,2.99,89730,RIAU,KACI-KACI,KACI-KACI;
2023,BENGKALIS,WPP-RI-571,45.40,2042775,RIAU,KAKAP,JENAHA;
2023,BENGKALIS,WPP-RI-571,19.88,994050,RIAU,KAKAP,KAKAP;
2023,BENGKALIS,WPP-RI-571,0.42,20850,RIAU,KEPITING,KEPITING;
2023,BENGKALIS,WPP-RI-571,156.46,7040790,RIAU,KURO,KURO; SENANGIN
2023,BENGKALIS,WPP-RI-571,13.60,136040,RIAU,LAYUR,LAYUR;
2023,BENGKALIS,WPP-RI-571,168.53,3876167,RIAU,MANYUNG,MANYUNG JAHAL;
